interval_end,mcp,cr_raise,cr_lower,reg_raise,reg_lower,rocof,operational_demand_mw,unscheduled_demand_mw,operational_withdrawal_mw,dpv_mw,trading_interval_end,rtp,stem_price,stem_qty_mwh,stem_bid_mwh,stem_offer_mwh,sent_out_mwh,sent_out_mw,dpv_mw_30min,scada_mwh,scada_mw,scheduled_energy_mw,residual_demand_mw,mcp_lag1,mcp_lag6,mcp_lag12,hour,minute,dow,month,year,is_weekend
2023-10-01 08:00:00,738.0,1180.27,0.49,577.15,0.5,0.0,1606.73,1598.12,-8.61,415.39,2023-10-01 08:00:00,555.99,65.25,84.415,675.462,2181.218,793.08438034,1586.16876068,370.2172,134.091,1609.092,1574.13,1191.3400000000001,,,,8,0,6,10,2023,True
2023-10-01 08:05:00,738.0,1107.77,0.49,577.15,0.5,0.0,1594.24,1586.53,-7.71,427.91,2023-10-01 08:30:00,102.04,65.19,80.206,623.392,2208.662,719.49631135,1438.9926227,596.8801,132.195,1586.34,1567.66,1166.33,738.0,,,8,5,6,10,2023,True
2023-10-01 08:10:00,738.0,689.17,0.1,575.44,0.5,0.0,1581.83,1574.04,-7.79,460.49,2023-10-01 08:30:00,102.04,65.19,80.206,623.392,2208.662,719.49631135,1438.9926227,596.8801,131.132,1573.584,1578.29,1121.34,738.0,,,8,10,6,10,2023,True
2023-10-01 08:15:00,738.0,684.83,0.1,575.44,0.5,0.0,1554.51,1547.28,-7.23,486.06,2023-10-01 08:30:00,102.04,65.19,80.206,623.392,2208.662,719.49631135,1438.9926227,596.8801,130.401,1564.8120000000001,1564.78,1068.45,738.0,,,8,15,6,10,2023,True
2023-10-01 08:20:00,263.54,190.69,0.1,104.88,0.5,0.0,1524.89,1517.86,-7.03,493.67,2023-10-01 08:30:00,102.04,65.19,80.206,623.392,2208.662,719.49631135,1438.9926227,596.8801,128.537,1542.444,1532.4,1031.22,738.0,,,8,20,6,10,2023,True
2023-10-01 08:25:00,120.42,0.21,10.02,0.1,10.61,0.0,1501.79,1495.57,-6.22,535.65,2023-10-01 08:30:00,102.04,65.19,80.206,623.392,2208.662,719.49631135,1438.9926227,596.8801,125.281,1503.372,1490.93,966.14,263.54,,,8,25,6,10,2023,True
2023-10-01 08:30:00,161.42,93.76,10.02,51.31,10.21,0.0,1453.32,1445.03,-8.29,570.66,2023-10-01 08:30:00,102.04,65.19,80.206,623.392,2208.662,719.49631135,1438.9926227,596.8801,121.9,1462.8000000000002,1479.23,882.66,120.42,738.0,,8,30,6,10,2023,True
2023-10-01 08:35:00,107.13,0.21,10.02,0.1,13.29,0.0,1437.39,1430.72,-6.67,647.23,2023-10-01 09:00:00,143.8,65.13,80.879,562.504,2217.154,713.91505902,1427.83011804,530.8784,120.038,1440.456,1462.69,790.1600000000001,161.42,738.0,,8,35,6,10,2023,True
2023-10-01 08:40:00,73.23,1.07,10.02,0.5,57.8,0.0,1392.78,1386.91,-5.87,717.28,2023-10-01 09:00:00,143.8,65.13,80.879,562.504,2217.154,713.91505902,1427.83011804,530.8784,117.449,1409.388,1408.42,675.5,107.13,738.0,,8,40,6,10,2023,True
2023-10-01 08:45:00,73.45,0.23,46.08,0.1,46.97,0.0,1411.63,1406.14,-5.49,712.85,2023-10-01 09:00:00,143.8,65.13,80.879,562.504,2217.154,713.91505902,1427.83011804,530.8784,116.126,1393.5120000000002,1384.53,698.7800000000001,73.23,738.0,,8,45,6,10,2023,True
2023-10-01 08:50:00,98.55,0.22,21.45,0.1,21.87,0.0,1402.67,1397.28,-5.39,754.2,2023-10-01 09:00:00,143.8,65.13,80.879,562.504,2217.154,713.91505902,1427.83011804,530.8784,116.127,1393.524,1339.09,648.47,73.45,263.54,,8,50,6,10,2023,True
2023-10-01 08:55:00,98.47,25.99,33.86,12.67,34.52,0.01,1421.85,1415.4,-6.45,776.66,2023-10-01 09:00:00,143.8,65.13,80.879,562.504,2217.154,713.91505902,1427.83011804,530.8784,117.545,1410.54,1319.67,645.1899999999999,98.55,120.42,,8,55,6,10,2023,True
2023-10-01 09:00:00,165.17,91.99,10.02,50.16,10.21,0.0,1454.06,1446.93,-7.13,784.86,2023-10-01 09:00:00,143.8,65.13,80.879,562.504,2217.154,713.91505902,1427.83011804,530.8784,119.65,1435.8000000000002,1363.71,669.1999999999999,98.47,161.42,738.0,9,0,6,10,2023,True
2023-10-01 09:05:00,184.17,110.99,10.02,60.05,10.61,0.0,1449.33,1442.45,-6.88,768.18,2023-10-01 09:30:00,8.06,65.1,49.41,514.018,2228.727,635.23939611,1270.47879222,796.8456,119.733,1436.796,1437.12,681.15,165.17,107.13,738.0,9,5,6,10,2023,True
2023-10-01 09:10:00,184.22,111.15,10.02,60.13,10.61,0.0,1451.53,1445.34,-6.19,802.18,2023-10-01 09:30:00,8.06,65.1,49.41,514.018,2228.727,635.23939611,1270.47879222,796.8456,120.391,1444.692,1490.2,649.35,184.17,73.23,738.0,9,10,6,10,2023,True
2023-10-01 09:15:00,109.38,0.22,10.95,0.22,11.16,0.0,1405.64,1398.67,-6.97,825.22,2023-10-01 09:30:00,8.06,65.1,49.41,514.018,2228.727,635.23939611,1270.47879222,796.8456,118.696,1424.3519999999999,1455.91,580.4200000000001,184.22,73.45,738.0,9,15,6,10,2023,True
2023-10-01 09:20:00,99.96,0.22,20.07,0.1,20.46,0.0,1362.23,1352.8,-9.43,853.25,2023-10-01 09:30:00,8.06,65.1,49.41,514.018,2228.727,635.23939611,1270.47879222,796.8456,114.75,1377.0,1426.12,508.98,109.38,98.55,263.54,9,20,6,10,2023,True
